FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
Ajin - The end of escape by fripSide×angela,medium,medium,Ajin,Ajin: Demi-Human,Fall 2016,The end of escape,fripSide×angela,43,"88,848",,,,,Action; Horror; Mystery; Supernatural,Super Power; Anti-Hero; Crime; Terrorism; Fugitive; Urban Fantasy; Full CGI; Police; Seinen; Male Protagonist
Ao no Kanata no Four Rhythm - Contrail~Kiseki~ by Mami Kawada,medium,medium,Ao no Kanata no Four Rhythm,AOKANA: Four Rhythm Across the Blue,Winter 2016,Contrail~Kiseki~,Mami Kawada,43,"89,04",,,,,Drama; Sci-Fi; Sports,Athletics; Coastal
Arakawa Under the Bridge - Venus to Jesus by Etsuko Yakushimaru,medium,medium,Arakawa Under the Bridge,Arakawa Under the Bridge,Spring 2010,Venus to Jesus,Etsuko Yakushimaru,43,"87,84",,,,,Comedy; Romance,Surreal Comedy; Seinen; Ensemble Cast; Male Protagonist; Philosophy; Female Protagonist; Outdoor Activities; Nun
Banana Fish - found  lost by Survive Said The Prophet,medium,medium,Banana Fish,Banana Fish,Summer 2018,found & lost,Survive Said The Prophet,43,"89,16",,,,,Action; Drama; Psychological; Thriller,Mafia; Gangs; Tragedy; Crime; Drugs; Conspiracy; Male Protagonist; Urban; Primarily Male Cast; Revenge; Rape; Guns; Criminal Organization; Coming of Age; Foreign; Boys' Love; LGBTQ+ Themes
Black Clover - Gamushara by Miyuna,medium,medium,Black Clover,Black Clover,Fall 2017,Gamushara,Miyuna,43,"87,528",,,,,Action; Adventure; Comedy; Fantasy,Magic; Shounen; Found Family; Male Protagonist; Super Power; Orphan; Ensemble Cast; Class Struggle; Revenge; Elf; Demons; Dissociative Identities
Black Clover - RiGHT NOW by EMPiRE,medium,medium,Black Clover,Black Clover,Fall 2017,RiGHT NOW,EMPiRE,43,"87,12",,,,,Action; Adventure; Comedy; Fantasy,Magic; Shounen; Found Family; Male Protagonist; Super Power; Orphan; Ensemble Cast; Class Struggle; Revenge; Elf; Demons; Dissociative Identities
Boku no Hero Academia - Hitamuki by SUPER BEAVER,medium,medium,Boku no Hero Academia,My Hero Academia,Fall 2022,Hitamuki,SUPER BEAVER,43,"89,136",,,,,Action; Adventure; Comedy,Super Power; Superhero; Shounen; Primarily Teen Cast; Male Protagonist; School; Urban Fantasy
Clockwork Planet - clockwork planet by fripSide,medium,medium,Clockwork Planet,Clockwork Planet,Spring 2017,clockwork planet,fripSide,43,"89,16",,,,,Drama; Ecchi; Fantasy; Romance; Sci-Fi,Robots; Steampunk; Artificial Intelligence
Cop Craft - Rakuen Toshi by Masayoshi Ooishi,medium,medium,Cop Craft,Cop Craft,Summer 2019,Rakuen Toshi,Masayoshi Ooishi,43,"88,824",,,,,Action; Fantasy; Sci-Fi,Police; Crime; Urban Fantasy; Magic; Detective
Cutey Honey - Cutey Honey by Yoko Maekawa,medium,medium,Cutey Honey,Cutey Honey,Fall 1973,Cutey Honey,Yoko Maekawa,43,"88,776",,,,,Action; Adventure; Ecchi; Mahou Shoujo; Sci-Fi,Female Protagonist; Episodic; Shounen; Villainess; Henshin
Durarara!!×2 Shou - HEADHUNT by OKAMOTO'S,medium,medium,Durarara!!×2 Shou,Durarara!! ×2 The First Arc,Winter 2015,HEADHUNT,OKAMOTO'S,43,"88,368",,,,,Action; Mystery; Supernatural,Achronological Order; Urban Fantasy; Ensemble Cast; Gangs
