FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
The Unaware Atelier Master - FACSTORY by MeseMoa. [amq-79443].webm,easy,easy,"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyou-Gakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi",The Unaware Atelier Master,Spring 2025,FACSTORY,MeseMoa.,23,"89,304",,,,,,
The Beginning After The End - KINGSBLOOD by KALA [amq-79470].webm,easy,easy,"Saikyou no Ousama, Nidome no Jinsei wa Nani o Suru?",The Beginning After The End,Spring 2025,KINGSBLOOD,KALA,33,"88,228",,,,,,
I'm the Evil Lord of an Intergalactic Empire! - Uchuu-teki MYSTERY by Saishu Mirai Shoujo [amq-79512].webm,easy,easy,Ore wa Seikan Kokka no Akutoku Ryoushu!,I'm the Evil Lord of an Intergalactic Empire!,Spring 2025,Uchuu-teki MYSTERY,Saishu Mirai Shoujo,26,"89,221",,,,,,
The Catcher in the Ballpark! - Hurray!! by GENIC [amq-79447].webm,easy,easy,Ballpark de Tsukamaete!,The Catcher in the Ballpark!,Spring 2025,Hurray!!,GENIC,33,"87,519",,,,,,
Himitsu no AiPri - Ring Ring Ring feat. Himari by P-Maru-sama. feat. Minori Fujidera [amq-79519].webm,medium,medium,Himitsu no AiPri,Himitsu no AiPri,Spring 2025,Ring Ring Ring feat. Himari,P-Maru-sama. feat. Minori Fujidera,43,"89,604",,,,,,
Himitsu no AiPri - Dokidoki Kirameki Buzzrium by P-Maru-sama. [amq-80834].webm,easy,easy,Himitsu no AiPri,Himitsu no AiPri,Spring 2025,Dokidoki Kirameki Buzzrium,P-Maru-sama.,33,"88,845",,,,,,
The Dinner Table Detective - MONTAGE by Kento Nakajima [amq-79490].webm,easy,easy,Nazotoki wa Dinner no Ato de,The Dinner Table Detective,Spring 2025,MONTAGE,Kento Nakajima,32,"88,061",,,,,,
Everyday Host - Everyday Host by EbuHosu Players [amq-79497].webm,medium,medium,Everyday Host,Everyday Host,Spring 2025,Everyday Host,EbuHosu Players,51,"28,955",,,,,,
Everyday Host - Everyday Host by EbuHosu Players with Sho Kiryuin [amq-80770].webm,easy,easy,Everyday Host,Everyday Host,Spring 2025,Everyday Host,EbuHosu Players with Sho Kiryuin,39,"29,375",,,,,,
Sai-Kyo-Oh! Zukan The Ultimate Tournament - Shouri no Uta ~Saikyou Muteki Number One~ by ROF-MAO [amq-79522].webm,easy,easy,Sai-Kyo-Oh! Zukan: The Ultimate Tournament,Sai-Kyo-Oh! Zukan: The Ultimate Tournament,Spring 2025,Shouri no Uta ~Saikyou Muteki Number One~,ROF-MAO,25,"88,637",,,,,,
To Be Hero X - INERTIA by SawanoHiroyuki[nZk] Rei [amq-79602].webm,hard,hard,To Be Hero X,To Be Hero X,Spring 2025,INERTIA,SawanoHiroyuki[nZk]:Rei,60,"102,776",,,,,,
To Be Hero X - INERTIA by SawanoHiroyuki[nZk] Rei & SennaRin [amq-80716].webm,hard,hard,To Be Hero X,To Be Hero X,Spring 2025,INERTIA,SawanoHiroyuki[nZk]:Rei & SennaRin,63,"90,175",,,,,,
ZatsuTabi That's Journey - Tabi Shiyo! don't you by harmoe [amq-79535].webm,easy,easy,ZatsuTabi: That's Journey,ZatsuTabi: That's Journey,Spring 2025,Tabi Shiyo! don't you?,harmoe,29,"88,015",,,,,,
Hana-Doll Reinterpretation of Flowering - Clockwork Flowers by Anthos [amq-79608].webm,easy,easy,Hana-Doll*: Reinterpretation of Flowering,Hana-Doll*: Reinterpretation of Flowering,Spring 2025,Clockwork Flowers,Anthos,22,"89,513",,,,,,
Lazarus - Dark Will Fall by Bonobo feat. Jacob Lusk [amq-79569].webm,medium,medium,Lazarus,Lazarus,Spring 2025,Dark Will Fall,Bonobo feat. Jacob Lusk,42,"66,980",,,,,,
Lazarus - Vortex by Kamasi Washington [amq-79587].webm,medium,medium,Lazarus,Lazarus,Spring 2025,Vortex,Kamasi Washington,43,"89,304",,,,,,
Kakushite! Makina-san!! - Ie de Yeah! tte Agetiger by Serena Kozuki [amq-79529].webm,easy,easy,Kakushite! Makina-san!!,Kakushite! Makina-san!!,Spring 2025,Ie de Yeah! tte Agetiger,Serena Kozuki,33,"88,895",,,,,,
Princession Orchestra - Zettai Utahime Sengen! by ORCHERIA [amq-79585].webm,medium,medium,Princession Orchestra,Princession Orchestra,Spring 2025,Zettai Utahime Sengen!,ORCHERIA,50,"88,762",,,,,,
Princession Orchestra - FUTURE SESSION by ORCHERIA [amq-80942].webm,medium,medium,Princession Orchestra,Princession Orchestra,Spring 2025,FUTURE SESSION,ORCHERIA,46,"89,020",,,,,,
Princession Orchestra - FUTURE SESSION -Ver. Constellation- by ORCHERIA [amq-81484].webm,medium,medium,Princession Orchestra,Princession Orchestra,Spring 2025,FUTURE SESSION -Ver. Constellation-,ORCHERIA,51,"88,770",,,,,,
Once Upon a Witch's Death - Drops by Maaya Sakamoto [amq-79545].webm,easy,easy,Aru Majo ga Shinu made,Once Upon a Witch's Death,Spring 2025,Drops,Maaya Sakamoto,37,"88,794",,,,,,
"Please Put Them On, Takamine-san - Baby Baby Baby by Masami Okui with Bonjour Suzuki [amq-79550].webm",medium,medium,"Haite Kudasai, Takamine-san","Please Put Them On, Takamine-san",Spring 2025,Baby Baby Baby,Masami Okui with Bonjour Suzuki,42,"88,995",,,,,,
Aharen-san wa Hakarenai Season 2 - Binetsuma by Zutto Mayonaka de Ii no ni. [amq-79533].webm,easy,easy,Aharen-san wa Hakarenai Season 2,Aharen-san wa Hakarenai Season 2,Spring 2025,Binetsuma,Zutto Mayonaka de Ii no ni.,39,"88,762",,,,,,
Maebashi Witches - Sugosugi Maebashi Witches! by Maebashi Witches [amq-79586].webm,medium,medium,Maebashi Witches,Maebashi Witches,Spring 2025,Sugosugi Maebashi Witches!,Maebashi Witches,50,"87,015",,,,,,
The Gorilla God's Go-To Girl - Illuminate by Shugo Nakamura [amq-79525].webm,easy,easy,Gorilla no Kami kara Kago Sareta Reijou wa Ouritsu Kishidan de Kawaigareru,The Gorilla God's Go-To Girl,Spring 2025,Illuminate,Shugo Nakamura,27,"88,974",,,,,,
"The Mononoke Lecture Logs of Chuzenji-sensei He Just Solves All the Mysteries - Kanojo wa Ima, Meikyuu no Naka. by HoneyWorks feat. KAF [amq-79537].webm",easy,easy,Chuuzenji-sensei Mononoke Kougiroku: Sensei ga Nazo o Toite Shimaukara.,The Mononoke Lecture Logs of Chuzenji-sensei: He Just Solves All the Mysteries,Spring 2025,"Kanojo wa Ima, Meikyuu no Naka.",HoneyWorks feat. KAF,29,"87,719",,,,,,
The Too-Perfect Saint Tossed Aside by My Fiance and Sold To Another Kingdom - Ai Toka. by Riria. [amq-79549].webm,easy,easy,Kanpeki Sugite Kawaige ga Nai to Konyaku Haki Sareta Seijo wa Ringoku ni Urareru,The Too-Perfect Saint: Tossed Aside by My Fiancé and Sold To Another Kingdom,Spring 2025,Ai Toka.,Riria.,33,"87,935",,,,,,
Uchuujin MuuMuu - Fushigi na Kimi by Saba Sister [amq-79552].webm,easy,easy,Uchuujin MuuMuu,Uchuujin MuuMuu,Spring 2025,Fushigi na Kimi,Saba Sister,20,"89,521",,,,,,
Uchuujin MuuMuu - MOVE MOVE by Ako [amq-79995].webm,easy,easy,Uchuujin MuuMuu,Uchuujin MuuMuu,Spring 2025,MOVE MOVE,Ako,22,"88,975",,,,,,
Mobile Suit Gundam GQuuuuuuX - Plazma by Kenshi Yonezu [amq-79605].webm,medium,medium,Kidou Senshi Gundam GQuuuuuuX,Mobile Suit Gundam GQuuuuuuX,Spring 2025,Plazma,Kenshi Yonezu,54,"89,353",,,,,,
My Hero Academia Vigilantes - Kekka Orai by Kocchi no Kento [amq-79540].webm,hard,hard,Vigilante: Boku no Hero Academia Illegals,My Hero Academia: Vigilantes,Spring 2025,Kekka Orai,Kocchi no Kento,60,"89,014",,,,,,
I've Been Killing Slimes For 300 Years And Maxed Out My Level Season 2 - So☆Lucky by Yui Ogura [amq-79578].webm,easy,easy,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita: Sono Ni",I've Been Killing Slimes For 300 Years And Maxed Out My Level Season 2,Spring 2025,So☆Lucky,Yui Ogura,38,"89,104",,,,,,
