Year,Season,Rank,Title,English Title,Romaji Title,Wymagane,Ile jest,Brakuje,Kolumna1,,,,
2024,SPRING,13,An Archdemon's Dilemma How to Love Your Elf Bride,An Archdemon's Dilemma: How to Love Your Elf Bride,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",3,3,0,,,,,
2024,SPRING,14,"As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World","As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World","Tensei Kizoku, Kantei Skill de Nariagaru",3,3,0,,,,,
2024,SPRING,15,The Misfit of Demon King Academy II (Cour 2),The Misfit of Demon King Academy II (Cour 2),"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II Part 2",3,3,0,,,,,
2024,SPRING,16,Jellyfish Can’t Swim in the Night,Mission: Yozakura Family,Yozakura-san Chi no Daisakusen,3,3,0,,,,,
2024,SPRING,17,ReMonster,Jellyfish Can’t Swim in the Night,Yoru no Kurage wa Oyogenai,3,3,0,,,,,
2024,SPRING,18,Mission Yozakura Family,Re:Monster,Re:Monster,3,3,0,,,,,
2024,SPRING,19,Girls Band Cry,Girls Band Cry,GIRLS BAND CRY,3,3,0,,,,,
2024,SPRING,20,Unnamed Memory,Unnamed Memory,Unnamed Memory,3,3,0,,,,,
2024,WINTER,1,Solo Leveling,Solo Leveling,Ore dake Level Up na Ken,7,7,0,,,,,
2024,WINTER,2,Delicious in Dungeon,Delicious in Dungeon,Dungeon Meshi,7,7,0,,,,,
2024,WINTER,3,MASHLE MAGIC AND MUSCLES Season 2,MASHLE: MAGIC AND MUSCLES Season 2,MASHLE: Kami Shinkakusha Kouho Senbatsu Shiken-hen,7,7,0,,,,,
2024,WINTER,4,Classroom of the Elite Season 3,Classroom of the Elite Season 3,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,7,7,0,,,,,
2024,WINTER,5,A Sign of Affection,A Sign of Affection,Yubisaki to Renren,7,7,0,,,,,
2024,WINTER,6,The Wrong Way to Use Healing Magic,The Wrong Way to Use Healing Magic,Chiyu Mahou no Machigatta Tsukaikata,5,5,0,,,,,
2024,WINTER,7,TSUKIMICHI -Moonlit Fantasy- Season 2,TSUKIMICHI -Moonlit Fantasy- Season 2,Tsuki ga Michibiku Isekai Douchuu 2nd Season,5,5,0,,,,,
2024,WINTER,8,Chained Soldier,Chained Soldier,Mato Seihei no Slave,5,5,0,,,,,
2024,WINTER,9,The Dangers in My Heart Season 2,The Dangers in My Heart Season 2,Boku no Kokoro no Yabai Yatsu 2nd Season,5,5,0,,,,,
2024,WINTER,10,HAIKYU!! The Dumpster Battle,HAIKYU!! The Dumpster Battle,Haikyuu!!: Gomi Suteba no Kessen,5,3,2,,,,,
2024,WINTER,11,Ninja Kamui,Ninja Kamui,Ninja Kamui,3,3,0,,,,,
2024,WINTER,12,Hokkaido Gals Are Super Adorable!,Hokkaido Gals Are Super Adorable!,Dosanko Gal wa Namara Menkoi,3,3,0,,,,,
2024,WINTER,13,7th Time Loop The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu Suru",3,3,0,,,,,
2024,WINTER,14,Gushing Over Magical Girls,Gushing Over Magical Girls,Mahou Shoujo ni Akogarete,3,4,-1,,,,,
2024,WINTER,15,Villainess Level 99 I May Be the Hidden Boss but I'm Not the Demon Lord,The Unwanted Undead Adventurer,Nozomanu Fushi no Boukensha,3,3,0,,,,,
2024,WINTER,16,The Unwanted Undead Adventurer,Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,Akuyaku Reijou Level 99: Watashi wa Ura Boss desu ga Maou de wa Arimasen,3,3,0,,,,,
